iter	Passed	Remaining
540	2863	2429
541	2866	2422
542	2870	2415
543	2873	2409
544	2877	2402
545	2880	2395
546	2883	2388
547	2886	2381
548	2890	2374
549	2893	2367
550	2896	2360
551	2899	2353
552	2902	2346
553	2906	2339
554	2909	2332
555	2912	2325
556	2916	2319
557	2920	2313
558	2923	2306
559	2926	2299
560	2929	2292
561	2932	2285
562	2936	2279
563	2939	2272
564	2942	2265
565	2947	2260
566	2951	2254
567	2955	2247
568	2959	2241
569	2963	2235
570	2967	2229
571	2972	2223
572	2976	2217
573	2979	2211
574	2983	2205
575	2987	2199
576	2991	2193
577	2995	2187
578	3000	2181
579	3003	2175
580	3006	2168
581	3009	2161
582	3012	2155
583	3016	2148
584	3019	2142
585	3023	2136
586	3027	2129
587	3030	2123
588	3035	2117
589	3038	2111
590	3041	2104
591	3044	2098
592	3047	2091
593	3051	2085
594	3054	2079
595	3057	2072
596	3060	2065
597	3063	2059
598	3067	2053
599	3070	2046
600	3073	2040
601	3076	2034
602	3079	2027
603	3083	2021
604	3086	2015
605	3089	2008
606	3092	2002
607	3095	1996
608	3100	1990
609	3103	1984
610	3106	1977
611	3109	1971
612	3114	1966
613	3117	1959
614	3120	1953
615	3123	1946
616	3126	1940
617	3130	1935
618	3133	1928
619	3136	1922
620	3139	1916
621	3143	1910
622	3147	1904
623	3149	1898
624	3152	1891
625	3156	1885
626	3159	1879
627	3163	1873
628	3166	1867
629	3169	1861
630	3172	1854
631	3175	1849
632	3179	1843
633	3182	1837
634	3185	1830
635	3187	1824
636	3191	1818
637	3195	1812
638	3198	1806
639	3201	1800
640	3203	1794
641	3207	1788
642	3211	1782
643	3214	1776
644	3217	1770
645	3220	1764
646	3224	1759
647	3227	1753
648	3230	1747
649	3233	1741
650	3236	1735
651	3239	1729
652	3244	1723
653	3247	1717
654	3250	1711
655	3253	1706
656	3256	1700
657	3260	1694
658	3263	1688
659	3266	1682
660	3269	1676
661	3272	1670
662	3276	1665
663	3279	1659
664	3282	1653
665	3285	1647
666	3288	1641
667	3292	1636
668	3295	1630
669	3298	1624
670	3301	1619
671	3305	1613
672	3309	1607
673	3312	1602
674	3315	1596
675	3318	1590
676	3321	1584
677	3325	1579
678	3329	1573
679	3332	1568
680	3335	1562
681	3338	1556
682	3341	1551
683	3345	1545
684	3348	1539
685	3351	1534
686	3354	1528
687	3358	1523
688	3361	1517
689	3364	1511
690	3367	1505
691	3370	1500
692	3374	1495
693	3377	1489
694	3380	1483
695	3383	1477
696	3386	1472
697	3390	1467
698	3393	1461
699	3396	1455
700	3399	1449
701	3404	1445
702	3407	1439
703	3410	1433
704	3413	1428
705	3416	1422
706	3419	1417
707	3423	1412
708	3426	1406
709	3429	1400
710	3432	1395
711	3437	1390
712	3440	1384
713	3443	1379
714	3446	1373
715	3449	1368
716	3453	1363
717	3456	1357
718	3459	1352
719	3462	1346
720	3466	1341
721	3470	1336
722	3473	1330
723	3476	1325
724	3479	1319
725	3482	1314
726	3486	1309
727	3489	1303
728	3492	1298
729	3495	1292
730	3498	1287
731	3502	1282
732	3506	1277
733	3510	1272
734	3513	1266
735	3517	1261
736	3520	1256
737	3523	1251
738	3526	1245
739	3531	1240
740	3535	1235
741	3539	1230
742	3542	1225
743	3545	1220
744	3549	1215
745	3553	1209
746	3555	1204
747	3559	1199
748	3562	1193
749	3566	1188
750	3569	1183
751	3572	1178
752	3575	1172
753	3578	1167
754	3582	1162
755	3585	1157
756	3589	1152
757	3592	1146
758	3595	1141
759	3599	1136
760	3602	1131
761	3605	1126
762	3608	1120
763	3611	1115
764	3615	1110
765	3619	1105
766	3622	1100
767	3625	1095
768	3628	1090
769	3632	1085
770	3636	1079
771	3639	1074
772	3642	1069
773	3645	1064
774	3655	1061
775	3658	1056
776	3662	1051
777	3665	1045
778	3668	1040
779	3671	1035
780	3674	1030
781	3678	1025
782	3681	1020
783	3684	1015
784	3687	1010
785	3690	1004
786	3695	1000
787	3698	994
788	3701	989
789	3704	984
790	3707	979
791	3711	974
792	3714	969
793	3717	964
794	3720	959
795	3723	954
796	3727	949
797	3730	944
798	3733	939
799	3736	934
800	3740	929
801	3743	924
802	3746	919
803	3749	914
804	3752	909
805	3756	904
806	3760	899
807	3763	894
808	3766	889
809	3769	884
810	3772	879
811	3776	874
812	3779	869
813	3782	864
814	3785	859
815	3788	854
816	3792	849
817	3795	844
818	3798	839
819	3801	834
820	3805	829
821	3808	824
822	3811	819
823	3814	814
824	3819	810
825	3822	805
826	3826	800
827	3829	795
828	3832	790
829	3835	785
830	3838	780
831	3842	775
832	3845	771
833	3849	766
834	3852	761
835	3856	756
836	3859	751
837	3862	746
838	3865	741
839	3868	736
840	3872	732
841	3875	727
842	3878	722
843	3881	717
844	3884	712
845	3888	707
846	3892	703
847	3895	698
848	3898	693
849	3901	688
850	3905	683
851	3908	679
852	3911	674
853	3914	669
854	3917	664
855	3922	659
856	3925	655
857	3928	650
858	3931	645
859	3934	640
860	3938	635
861	3941	631
862	3944	626
863	3948	621
864	3951	616
865	3955	612
866	3958	607
867	3961	602
868	3964	597
869	3967	592
870	3971	588
871	3974	583
872	3977	578
873	3980	573
874	3983	569
875	3987	564
876	3990	559
877	3993	554
878	3996	550
879	3999	545
880	4003	540
881	4006	536
882	4009	531
883	4012	526
884	4015	521
885	4019	517
886	4022	512
887	4025	507
888	4029	503
889	4034	498
890	4038	493
891	4041	489
892	4044	484
893	4047	479
894	4051	475
895	4054	470
896	4057	465
897	4060	461
898	4063	456
899	4067	451
900	4070	447
901	4073	442
902	4078	438
903	4082	433
904	4085	428
905	4088	424
906	4091	419
907	4094	414
908	4098	410
909	4101	405
910	4104	401
911	4108	396
912	4111	391
913	4115	387
914	4118	382
915	4121	377
916	4124	373
917	4127	368
918	4131	364
919	4135	359
920	4138	354
921	4141	350
922	4144	345
923	4148	341
924	4151	336
925	4154	332
926	4157	327
927	4160	322
928	4165	318
929	4168	313
930	4171	309
931	4174	304
932	4177	299
933	4181	295
934	4184	290
935	4187	286
936	4190	281
937	4193	277
938	4197	272
939	4200	268
940	4204	263
941	4208	259
942	4212	254
943	4215	250
944	4218	245
945	4221	240
946	4224	236
947	4229	231
948	4232	227
949	4235	222
950	4238	218
951	4241	213
952	4245	209
953	4248	204
954	4251	200
955	4254	195
956	4257	191
957	4261	186
958	4264	182
959	4267	177
960	4271	173
961	4274	168
962	4278	164
963	4281	159
964	4284	155
965	4287	150
966	4290	146
967	4294	141
968	4297	137
969	4300	133
970	4303	128
971	4307	124
972	4311	119
973	4314	115
974	4317	110
975	4320	106
976	4324	101
977	4328	97
978	4331	92
979	4334	88
980	4338	84
981	4342	79
982	4346	75
983	4349	70
984	4352	66
985	4355	61
986	4359	57
987	4362	52
988	4365	48
989	4368	44
990	4371	39
991	4375	35
992	4378	30
993	4381	26
994	4384	22
995	4388	17
996	4391	13
997	4394	8
998	4397	4
999	4400	0
